date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:34:25	153/153	---M--	200	added ('OK')	text/plain	date:Tue,%2008%20Oct%202019%2004:58:04%20GMT	http://www.winkomputer.com/robots.txt		(from )
20:34:26	11214/11214	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2013:34:25%20GMT	http://www.winkomputer.com/	E:/billt/www.winkomputer.com/index.html	(from )
20:34:26	7013/7013	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20Feb%202021%2008:58:19%20GMT	http://www.winkomputer.com/style.css	E:/billt/www.winkomputer.com/style.css	(from http://www.winkomputer.com/)
20:34:26	1409/1409	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Apr%202012%2017:14:46%20GMT	http://www.winkomputer.com/s3Slider.css	E:/billt/www.winkomputer.com/s3Slider.css	(from http://www.winkomputer.com/)
20:34:28	4118/4118	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2004%20Apr%202012%2016:46:30%20GMT	http://www.winkomputer.com/js/s3Slider.js	E:/billt/www.winkomputer.com/js/s3Slider.js	(from http://www.winkomputer.com/)
20:34:28	26897/26897	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Mar%202012%2008:44:36%20GMT	http://www.winkomputer.com/images/Logo.png	E:/billt/www.winkomputer.com/images/Logo.png	(from http://www.winkomputer.com/)
20:34:28	93868/93868	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2004%20Apr%202012%2016:46:28%20GMT	http://www.winkomputer.com/js/jquery.js	E:/billt/www.winkomputer.com/js/jquery.js	(from http://www.winkomputer.com/)
20:34:29	850/850	---MC-	200	added ('OK')	text/javascript	date:Sat,%2017%20Dec%202022%2013:34:28%20GMT	https://www.google.com/recaptcha/api.js	E:/billt/www.google.com/recaptcha/api.js	(from http://www.winkomputer.com/)
20:34:29	7957/7957	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2013:34:29%20GMT	http://www.winkomputer.com/about.php	E:/billt/www.winkomputer.com/about.html	(from http://www.winkomputer.com/)
20:34:29	11214/11214	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2013:34:29%20GMT	http://www.winkomputer.com/index.php	E:/billt/www.winkomputer.com/index-2.html	(from http://www.winkomputer.com/)
20:34:29	10159/10159	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2013:34:29%20GMT	http://www.winkomputer.com/howto.php	E:/billt/www.winkomputer.com/howto.html	(from http://www.winkomputer.com/)
20:34:30	11683/11683	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2013:34:30%20GMT	http://www.winkomputer.com/konfirmasi.php	E:/billt/www.winkomputer.com/konfirmasi.html	(from http://www.winkomputer.com/)
20:34:31	12935/12935	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2013:34:30%20GMT	http://www.winkomputer.com/price-list.php?q=cpu	E:/billt/www.winkomputer.com/price-list84c5.html	(from http://www.winkomputer.com/)
20:34:31	20761/20761	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2013:34:30%20GMT	http://www.winkomputer.com/price-list.php?q=mbo	E:/billt/www.winkomputer.com/price-liste142.html	(from http://www.winkomputer.com/)
20:34:32	18284/18284	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2013:34:31%20GMT	http://www.winkomputer.com/price-list.php?q=hdd	E:/billt/www.winkomputer.com/price-list27ca.html	(from http://www.winkomputer.com/)
20:34:32	15055/15055	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2013:34:31%20GMT	http://www.winkomputer.com/price-list.php?q=ssd	E:/billt/www.winkomputer.com/price-lista0b2.html	(from http://www.winkomputer.com/)
20:34:32	202487/202487	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2013:34:29%20GMT	http://www.winkomputer.com/simulasi.php	E:/billt/www.winkomputer.com/simulasi.html	(from http://www.winkomputer.com/)
20:34:32	19994/19994	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2013:34:31%20GMT	http://www.winkomputer.com/price-list.php?q=ram	E:/billt/www.winkomputer.com/price-listd577.html	(from http://www.winkomputer.com/)
20:34:33	24962/24962	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2013:34:32%20GMT	http://www.winkomputer.com/price-list.php?q=vga	E:/billt/www.winkomputer.com/price-list9932.html	(from http://www.winkomputer.com/)
20:34:33	22279/22279	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2013:34:32%20GMT	http://www.winkomputer.com/price-list.php?q=psu	E:/billt/www.winkomputer.com/price-liste800.html	(from http://www.winkomputer.com/)
20:34:33	30582/30582	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2013:34:33%20GMT	http://www.winkomputer.com/price-list.php?q=cas	E:/billt/www.winkomputer.com/price-listd5ea.html	(from http://www.winkomputer.com/)
20:34:33	13663/13663	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2013:34:33%20GMT	http://www.winkomputer.com/price-list.php?q=mon	E:/billt/www.winkomputer.com/price-list6925.html	(from http://www.winkomputer.com/)
20:34:33	7992/7992	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2013:34:33%20GMT	http://www.winkomputer.com/price-list.php?q=opd	E:/billt/www.winkomputer.com/price-list0fac.html	(from http://www.winkomputer.com/)
20:34:34	26628/26628	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2013:34:33%20GMT	http://www.winkomputer.com/price-list.php?q=knm	E:/billt/www.winkomputer.com/price-listf91c.html	(from http://www.winkomputer.com/)
20:34:34	7940/7940	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2013:34:33%20GMT	http://www.winkomputer.com/price-list.php?q=gcc	E:/billt/www.winkomputer.com/price-list14b0.html	(from http://www.winkomputer.com/)
20:34:34	23781/23781	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2013:34:34%20GMT	http://www.winkomputer.com/price-list.php?q=cnf	E:/billt/www.winkomputer.com/price-listb3c8.html	(from http://www.winkomputer.com/)
20:34:34	11111/11111	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2013:34:34%20GMT	http://www.winkomputer.com/price-list.php?q=sno	E:/billt/www.winkomputer.com/price-lista039.html	(from http://www.winkomputer.com/)
20:34:34	8562/8562	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2013:34:34%20GMT	http://www.winkomputer.com/price-list.php?q=nco	E:/billt/www.winkomputer.com/price-list4c11.html	(from http://www.winkomputer.com/)
